117,2000 Limerick Open - Under 1200,2000-10-30,15
118,2000 Limerick Open - Open,2000-10-30,28
119,2000 Ulster Championships - Junior,2000-11-05,9
120,2000 Ulster Championships - Intermediate,2000-11-05,14
121,2000 Ulster Championships - Matchplay,2000-11-05,6
122,2000 Olympiad - Women,2000-11-12,46
123,2000 Olympiad - Men,2000-11-12,62
124,2000 Four Nations Club League - (Bray),2000-11-26,23
125,2000 Kilkenny - Challengers,2000-11-26,50
126,2000 Kilkenny - James Mason,2000-11-26,71
127,2000 Kilkenny - Major,2000-11-26,44
128,2000 Kilkenny - Masters,2000-11-26,34
129,2000 York Viking Festival - (JR),2000-12-22,10
130,2000 Ulster Championships - Senior,2000-12-30,16
131,2001 Birmingham Winter Congress - (SS + GW),2001-01-07,12
132,2001 L.S.C.A. Championships - Under 12s,2001-01-14,23
133,2001 L.S.C.A. Championships - Under 16s,2001-01-14,24
134,2001 L.S.C.A. Championships - Under 14s,2001-01-21,44
135,2001 L.S.C.A. Championships - Under 19s,2001-01-21,9
136,2001 Bunratty Festival - Minor,2001-02-18,87
137,2001 Bunratty Festival - Major,2001-02-18,94
138,2001 Bunratty Festival - Challengers,2001-02-18,55
139,2001 Bunratty Festival - Masters,2001-02-18,44
140,2001 Brian Fitzpatrick v David Path,2001-03-11,2
141,2000-2001 U.C.U. Leagues - Div.2,2001-03-19,74
142,2000-2001 U.C.U. Leagues - Div.1,2001-03-19,66
143,2001 Cork City Congress - Stars Barred,2001-03-25,28
144,2001 Cork City Congress - Challengers,2001-03-25,41
145,2001 Cork City Congress - Major,2001-03-25,25
146,2001 North Munster Championships,2001-03-25,21
147,2000-2001 L.C.U. Leagues - Div.6 [Bodley Cup],2001-03-30,66
148,2000-2001 L.C.U. Leagues - Div.5 [B.A. Cup],2001-03-30,55
149,2000-2001 L.C.U. Leagues - Div.4 [O'Hanlon Cup],2001-03-30,99
150,2000-2001 L.C.U. Leagues - Div.2 [Heidenfeld Shield],2001-03-30,121
