1,200109,7,1470,1
2,200109,9,1872,1
3,200109,11,1600,1
4,200109,17,1687,1
5,200109,19,1897,1
6,200109,21,1818,1
7,200109,33,2227,1
8,200109,42,1402,1
9,200109,43,1896,1
10,200109,46,1590,1
11,200109,48,1512,1
12,200109,63,1391,1
13,200109,65,1600,1
14,200109,74,1542,1
15,200109,87,1743,1
16,200109,89,1710,1
17,200109,90,2278,1
18,200109,92,1455,1
19,200109,106,1203,1
20,200109,114,1723,1
21,200109,119,1706,1
22,200109,130,1488,1
23,200109,133,1245,1
24,200109,134,1598,1
25,200109,137,1633,1
26,200109,140,1432,1
27,200109,141,1954,1
28,200109,145,1259,1
29,200109,146,1110,1
30,200109,151,1617,1
31,200109,152,1943,1
32,200109,154,1083,1
33,200109,158,1444,1
34,200109,159,2071,1
35,200109,160,1961,1
36,200109,163,1222,1
37,200109,173,1108,1
38,200109,174,1739,1
39,200109,178,1254,1
40,200109,187,1457,1
41,200109,190,1641,1
42,200109,191,1541,1
43,200109,193,1727,1
44,200109,208,2140,1
45,200109,217,1721,1
46,200109,218,1629,1
47,200109,220,1404,1
48,200109,236,1298,1
49,200109,240,1973,1
50,200109,241,1536,1
51,200109,246,1596,1
52,200109,249,1836,1
53,200109,250,1169,1
54,200109,251,1244,1
55,200109,261,1492,1
56,200109,263,1316,1
57,200109,269,1281,1
58,200109,276,1848,1
59,200109,277,1721,1
60,200109,278,1324,1
61,200109,282,1904,1
62,200109,286,1479,1
63,200109,291,1387,1
64,200109,293,1420,1
65,200109,294,1373,1
66,200109,295,2278,1
67,200109,298,958,1
68,200109,299,1859,1
69,200109,300,1452,1
70,200109,307,1158,1
71,200109,314,1724,1
72,200109,317,1668,1
73,200109,319,2286,1
74,200109,322,1399,1
75,200109,323,1547,1
76,200109,324,1937,1
77,200109,325,1336,1
78,200109,334,1569,1
79,200109,367,1769,1
80,200109,369,2069,1
81,200109,372,1529,1
82,200109,374,1779,1
83,200109,375,1623,1
84,200109,378,1862,1
85,200109,379,1229,1
86,200109,382,1822,1
87,200109,383,1731,1
88,200109,385,1554,1
89,200109,386,1503,1
90,200109,389,1553,1
91,200109,393,1731,1
92,200109,398,1798,1
93,200109,401,1877,1
94,200109,406,1769,1
95,200109,407,1299,1
96,200109,408,1807,1
97,200109,412,1511,1
98,200109,415,1272,1
99,200109,419,1615,1
100,200109,420,1439,1
101,200109,422,1216,1
102,200109,423,1737,1
103,200109,425,1370,1
104,200109,426,1288,1
105,200109,429,1608,1
106,200109,430,1822,1
107,200109,431,1651,1
108,200109,435,1303,1
109,200109,436,1113,1
110,200109,438,1814,1
111,200109,443,1281,1
112,200109,446,1570,1
113,200109,448,1373,1
114,200109,454,1121,1
115,200109,455,1896,1
116,200109,456,2066,1
117,200109,460,1479,1
118,200109,466,1576,1
119,200109,473,1490,1
120,200109,482,1845,1
121,200109,490,1727,1
122,200109,494,2080,1
123,200109,497,1759,1
124,200109,507,1644,1
125,200109,517,2122,1
126,200109,525,1453,1
127,200109,528,1383,1
128,200109,529,1564,1
129,200109,533,1245,1
130,200109,536,1724,1
131,200109,541,2117,1
132,200109,553,1718,1
133,200109,554,1196,1
134,200109,559,1384,1
135,200109,564,1498,1
136,200109,565,1284,1
137,200109,569,1184,1
138,200109,573,1816,1
139,200109,574,1479,1
140,200109,586,1600,1
141,200109,594,1280,1
142,200109,595,1394,1
143,200109,604,1150,1
144,200109,611,1839,1
145,200109,616,1430,1
146,200109,618,1566,1
147,200109,621,2212,1
148,200109,636,1960,1
149,200109,640,1393,1
150,200109,648,1652,1
151,200109,650,1868,1
152,200109,657,1725,1
153,200109,658,2174,1
154,200109,659,1496,1
155,200109,670,1677,1
156,200109,677,1915,1
157,200109,682,1509,1
158,200109,687,2387,1
159,200109,689,1581,1
160,200109,694,1339,1
